,Unnamed: 0,track_name,song_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0,0,Take Me To Church,7dS5EaCoMnN7DzlpT6aRn2,Hozier,2FXC3k01G6Gw61bmprjgqS,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,https://api.spotify.com/v1/tracks/7dS5EaCoMnN7DzlpT6aRn2,https://api.spotify.com/v1/audio-analysis/7dS5EaCoMnN7DzlpT6aRn2,241688,4,1
1,1,Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj,213293,4,1
2,3,Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,Gigamesh,1Bo8Afb2Qbjs4x6kJHyjle,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj,213293,4,1
3,5,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4,2
4,7,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4,2
5,9,Pompeii,3gbBpTdY8lnQwqxNCcf795,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,spotify:track:3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,214148,4,1
6,10,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,0EmeFodog0BfCgMzAIvKQp,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4,1
7,12,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4,1
8,14,Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,The Script,3AQRLZ9PuTAozP28Skbq8V,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,spotify:track:7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,202533,4,1
9,16,Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,will.i.am,085pc2PYOi8bGKj0PNjekA,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,spotify:track:7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,202533,4,1
